#1.0.0,,,,,,,,,,,,
keyword,foma3x,foma2x,foma1x,pdc2,pdc1,win,cdma,sb3g,will,em,iphone,pc
ר¥,;,;,;,;,;,"<img localsrc=""305"" />","<img localsrc=""305"" />",&#xe331;,;,&#xe644;,"<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" />"
&#xe645;,;,;,;,ר¦,ר¦,"<img localsrc=""137"" />","<img localsrc=""137"" />",&#xe43c;,ר¦,;,"<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" />"
&#xE645;,;,;,;,ר¦,ר¦,"<img localsrc=""137"" />","<img localsrc=""137"" />",&#xe43c;,ר¦,;,"<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" />"
&#63654;,&#xe645;,&#xe645;,&#xe645;,ר¦,ר¦,"<img localsrc=""137"" />","<img localsrc=""137"" />",&#xe43c;,ר¦,&#xe645;,"<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" />"
ר¦,;,;,;,;,;,"<img localsrc=""137"" />","<img localsrc=""137"" />",&#xe43c;,;,&#xe645;,"<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE645.gif"" width=""16"" height=""16"" />"
&#xe646;,;,;,;,ר§,ר§,"<img localsrc=""192"" />","<img localsrc=""192"" />",&#xe23f;,ר§,;,"<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" />"
&#xE646;,;,;,;,ר§,ר§,"<img localsrc=""192"" />","<img localsrc=""192"" />",&#xe23f;,ר§,;,"<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" />"
&#63655;,&#xe646;,&#xe646;,&#xe646;,ר§,ר§,"<img localsrc=""192"" />","<img localsrc=""192"" />",&#xe23f;,ר§,&#xe646;,"<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" />"
ר§,;,;,;,;,;,"<img localsrc=""192"" />","<img localsrc=""192"" />",&#xe23f;,;,&#xe646;,"<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE646.gif"" width=""16"" height=""16"" />"
&#xe647;,;,;,;,ר¨,ר¨,"<img localsrc=""193"" />","<img localsrc=""193"" />",&#xe240;,ר¨,;,"<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" />"
&#xE647;,;,;,;,ר¨,ר¨,"<img localsrc=""193"" />","<img localsrc=""193"" />",&#xe240;,ר¨,;,"<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" />"
&#63656;,&#xe647;,&#xe647;,&#xe647;,ר¨,ר¨,"<img localsrc=""193"" />","<img localsrc=""193"" />",&#xe240;,ר¨,&#xe647;,"<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" />"
ר¨,;,;,;,;,;,"<img localsrc=""193"" />","<img localsrc=""193"" />",&#xe240;,;,&#xe647;,"<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE647.gif"" width=""16"" height=""16"" />"
&#xe648;,;,;,;,ר©,ר©,"<img localsrc=""194"" />","<img localsrc=""194"" />",&#xe241;,ר©,;,"<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" />"
&#xE648;,;,;,;,ר©,ר©,"<img localsrc=""194"" />","<img localsrc=""194"" />",&#xe241;,ר©,;,"<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" />"
&#63657;,&#xe648;,&#xe648;,&#xe648;,ר©,ר©,"<img localsrc=""194"" />","<img localsrc=""194"" />",&#xe241;,ר©,&#xe648;,"<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" />"
ר©,;,;,;,;,;,"<img localsrc=""194"" />","<img localsrc=""194"" />",&#xe241;,;,&#xe648;,"<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE648.gif"" width=""16"" height=""16"" />"
&#xe649;,;,;,;,ר×,ר×,"<img localsrc=""195"" />","<img localsrc=""195"" />",&#xe242;,ר×,;,"<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" />"
&#xE649;,;,;,;,ר×,ר×,"<img localsrc=""195"" />","<img localsrc=""195"" />",&#xe242;,ר×,;,"<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" />"
&#63658;,&#xe649;,&#xe649;,&#xe649;,ר×,ר×,"<img localsrc=""195"" />","<img localsrc=""195"" />",&#xe242;,ר×,&#xe649;,"<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" />"
ר×,;,;,;,;,;,"<img localsrc=""195"" />","<img localsrc=""195"" />",&#xe242;,;,&#xe649;,"<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE649.gif"" width=""16"" height=""16"" />"
&#xe64a;,;,;,;,ר«,ר«,"<img localsrc=""196"" />","<img localsrc=""196"" />",&#xe243;,ר«,;,"<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" />"
&#xE64A;,;,;,;,ר«,ר«,"<img localsrc=""196"" />","<img localsrc=""196"" />",&#xe243;,ר«,;,"<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" />"
&#63659;,&#xe64a;,&#xe64a;,&#xe64a;,ר«,ר«,"<img localsrc=""196"" />","<img localsrc=""196"" />",&#xe243;,ר«,&#xe64a;,"<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" />"
ר«,;,;,;,;,;,"<img localsrc=""196"" />","<img localsrc=""196"" />",&#xe243;,;,&#xe64a;,"<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64A.gif"" width=""16"" height=""16"" />"
&#xe64b;,;,;,;,ר¬,ר¬,"<img localsrc=""197"" />","<img localsrc=""197"" />",&#xe244;,ר¬,;,"<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" />"
&#xE64B;,;,;,;,ר¬,ר¬,"<img localsrc=""197"" />","<img localsrc=""197"" />",&#xe244;,ר¬,;,"<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" />"
&#63660;,&#xe64b;,&#xe64b;,&#xe64b;,ר¬,ר¬,"<img localsrc=""197"" />","<img localsrc=""197"" />",&#xe244;,ר¬,&#xe64b;,"<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" />"
ר¬,;,;,;,;,;,"<img localsrc=""197"" />","<img localsrc=""197"" />",&#xe244;,;,&#xe64b;,"<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64B.gif"" width=""16"" height=""16"" />"
&#xe64c;,;,;,;,ר­,ר­,"<img localsrc=""198"" />","<img localsrc=""198"" />",&#xe245;,ר­,;,"<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" />"
&#xE64C;,;,;,;,ר­,ר­,"<img localsrc=""198"" />","<img localsrc=""198"" />",&#xe245;,ר­,;,"<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" />"
&#63661;,&#xe64c;,&#xe64c;,&#xe64c;,ר­,ר­,"<img localsrc=""198"" />","<img localsrc=""198"" />",&#xe245;,ר­,&#xe64c;,"<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" />"
ר­,;,;,;,;,;,"<img localsrc=""198"" />","<img localsrc=""198"" />",&#xe245;,;,&#xe64c;,"<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64C.gif"" width=""16"" height=""16"" />"
&#xe64d;,;,;,;,ר®,ר®,"<img localsrc=""199"" />","<img localsrc=""199"" />",&#xe246;,ר®,;,"<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" />"
&#xE64D;,;,;,;,ר®,ר®,"<img localsrc=""199"" />","<img localsrc=""199"" />",&#xe246;,ר®,;,"<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" />"
&#63662;,&#xe64d;,&#xe64d;,&#xe64d;,ר®,ר®,"<img localsrc=""199"" />","<img localsrc=""199"" />",&#xe246;,ר®,&#xe64d;,"<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" />"
ר®,;,;,;,;,;,"<img localsrc=""199"" />","<img localsrc=""199"" />",&#xe246;,;,&#xe64d;,"<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64D.gif"" width=""16"" height=""16"" />"
&#xe64e;,;,;,;,ר¯,ר¯,"<img localsrc=""200"" />","<img localsrc=""200"" />",&#xe247;,ר¯,;,"<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" />"
&#xE64E;,;,;,;,ר¯,ר¯,"<img localsrc=""200"" />","<img localsrc=""200"" />",&#xe247;,ר¯,;,"<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" />"
&#63663;,&#xe64e;,&#xe64e;,&#xe64e;,ר¯,ר¯,"<img localsrc=""200"" />","<img localsrc=""200"" />",&#xe247;,ר¯,&#xe64e;,"<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" />"
ר¯,;,;,;,;,;,"<img localsrc=""200"" />","<img localsrc=""200"" />",&#xe247;,;,&#xe64e;,"<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64E.gif"" width=""16"" height=""16"" />"
&#xe64f;,;,;,;,ר°,ר°,"<img localsrc=""201"" />","<img localsrc=""201"" />",&#xe248;,ר°,;,"<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" />"
&#xE64F;,;,;,;,ר°,ר°,"<img localsrc=""201"" />","<img localsrc=""201"" />",&#xe248;,ר°,;,"<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" />"
&#63664;,&#xe64f;,&#xe64f;,&#xe64f;,ר°,ר°,"<img localsrc=""201"" />","<img localsrc=""201"" />",&#xe248;,ר°,&#xe64f;,"<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" />"
ר°,;,;,;,;,;,"<img localsrc=""201"" />","<img localsrc=""201"" />",&#xe248;,;,&#xe64f;,"<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE64F.gif"" width=""16"" height=""16"" />"
&#xe650;,;,;,;,ר±,ר±,"<img localsrc=""202"" />","<img localsrc=""202"" />",&#xe249;,ר±,;,"<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" />"
&#xE650;,;,;,;,ר±,ר±,"<img localsrc=""202"" />","<img localsrc=""202"" />",&#xe249;,ר±,;,"<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" />"
&#63665;,&#xe650;,&#xe650;,&#xe650;,ר±,ר±,"<img localsrc=""202"" />","<img localsrc=""202"" />",&#xe249;,ר±,&#xe650;,"<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" />"
ר±,;,;,;,;,;,"<img localsrc=""202"" />","<img localsrc=""202"" />",&#xe249;,;,&#xe650;,"<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE650.gif"" width=""16"" height=""16"" />"
&#xe651;,;,;,;,ר²,ר²,"<img localsrc=""203"" />","<img localsrc=""203"" />",&#xe24a;,ר²,;,"<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" />"
&#xE651;,;,;,;,ר²,ר²,"<img localsrc=""203"" />","<img localsrc=""203"" />",&#xe24a;,ר²,;,"<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" />"
&#63666;,&#xe651;,&#xe651;,&#xe651;,ר²,ר²,"<img localsrc=""203"" />","<img localsrc=""203"" />",&#xe24a;,ר²,&#xe651;,"<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" />"
ר²,;,;,;,;,;,"<img localsrc=""203"" />","<img localsrc=""203"" />",&#xe24a;,;,&#xe651;,"<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE651.gif"" width=""16"" height=""16"" />"
&#xe652;,;,;,;,ר³,ר³,"<img localsrc=""335"" />","<img localsrc=""335"" />",&#xe006;,ר³,;,"<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" />"
&#xE652;,;,;,;,ר³,ר³,"<img localsrc=""335"" />","<img localsrc=""335"" />",&#xe006;,ר³,;,"<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" />"
&#63667;,&#xe652;,&#xe652;,&#xe652;,ר³,ר³,"<img localsrc=""335"" />","<img localsrc=""335"" />",&#xe006;,ר³,&#xe652;,"<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" />"
ר³,;,;,;,;,;,"<img localsrc=""335"" />","<img localsrc=""335"" />",&#xe006;,;,&#xe652;,"<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE652.gif"" width=""16"" height=""16"" />"
&#xe653;,;,;,;,ר´,ר´,"<img localsrc=""45"" />","<img localsrc=""45"" />",&#xe016;,ר´,;,"<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" />"
&#xE653;,;,;,;,ר´,ר´,"<img localsrc=""45"" />","<img localsrc=""45"" />",&#xe016;,ר´,;,"<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" />"
&#63668;,&#xe653;,&#xe653;,&#xe653;,ר´,ר´,"<img localsrc=""45"" />","<img localsrc=""45"" />",&#xe016;,ר´,&#xe653;,"<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" />"
ר´,;,;,;,;,;,"<img localsrc=""45"" />","<img localsrc=""45"" />",&#xe016;,;,&#xe653;,"<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE653.gif"" width=""16"" height=""16"" />"
&#xe654;,;,;,;,רµ,רµ,"<img localsrc=""306"" />","<img localsrc=""306"" />",&#xe014;,רµ,;,"<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" />"
&#xE654;,;,;,;,רµ,רµ,"<img localsrc=""306"" />","<img localsrc=""306"" />",&#xe014;,רµ,;,"<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" />"
&#63669;,&#xe654;,&#xe654;,&#xe654;,רµ,רµ,"<img localsrc=""306"" />","<img localsrc=""306"" />",&#xe014;,רµ,&#xe654;,"<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE654.gif"" width=""16"" height=""16"" />"
